rank,ncaaSchool,normalizedNcaa,season,source
158,Illinois St.,illinois saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
159,Northwestern St.,northwestern saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
163,Indiana St.,indiana saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
165,Murray St.,murray saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
168,Oral Roberts,oral roberts,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
169,Nevada,nevada,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
171,ULM,ulm,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
173,Lindenwood,lindenwood,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
174,Wright St.,wright saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
177,Alabama St.,alabama saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
184,San Jose St.,san jose saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
185,Bryant,bryant,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
187,CSUN,csun,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
196,Southern U.,southern u,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
197,Penn St.,penn saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
198,UNLV,unlv,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
202,A&M-Corpus Christi,a and m corpus christi,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
208,VMI,vmi,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
210,San Diego,san diego,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
212,UMBC,umbc,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
214,Ball St.,ball saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
215,Navy,navy,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
219,New Mexico,new mexico,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
220,UIW,uiw,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
224,New Mexico St.,new mexico saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
225,FIU,fiu,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
226,UMass Lowell,umass lowell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
227,UIC,uic,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
233,Southern Ill.,southern ill,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
235,UT Martin,texas martin,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
237,CSU Bakersfield,california state university bakersfield,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
238,Milwaukee,milwaukee,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
239,South Dakota St.,south dakota saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
245,Eastern Mich.,eastern mich,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
246,Eastern Ky.,eastern ky,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
249,Long Beach St.,long beach saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
250,Tennessee Tech,tennessee tech,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
252,Omaha,omaha,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
252,Seattle U,seattle u,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
259,Massachusetts,massachusetts,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
260,Iona,iona,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
263,Queens (NC),queens nc,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
271,La Salle,la salle,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
272,UC Riverside,california riverside,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
277,UAlbany,ualbany,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
279,N.C. A&T,nc a and t,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
282,Youngstown St.,youngstown saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
284,North Dakota St.,north dakota saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
286,St. Bonaventure,saint bonaventure,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
288,Fresno St.,fresno saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
290,NJIT,njit,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
292,Jackson St.,jackson saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
293,Ohio,ohio,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
295,St. Thomas (MN),saint thomas mn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
296,Northern Colo.,northern colo,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
297,Central Conn. St.,central conn saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
298,Mercyhurst,mercyhurst,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
300,Norfolk St.,norfolk saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
301,New Haven,new haven,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
303,Coppin St.,coppin saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
304,Delaware St.,delaware saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
