rank,ncaaSchool,normalizedNcaa,season,source
271,La Salle,la salle,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
272,UC Riverside,uc riverside,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
273,Presbyterian,presbyterian,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
275,Cornell,cornell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
276,Valparaiso,valparaiso,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
277,UAlbany,ualbany,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
281,Lehigh,lehigh,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
284,North Dakota St.,north dakota state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
285,Lafayette,lafayette,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
286,St. Bonaventure,state bonaventure,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
290,NJIT,njit,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
291,Bradley,bradley,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
293,Ohio,ohio,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
294,Oakland,oakland,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
295,St. Thomas (MN),state thomas mn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
296,Northern Colo.,northern colo,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
298,Mercyhurst,mercyhurst,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
300,Norfolk St.,norfolk state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
301,New Haven,new haven,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
303,Coppin St.,coppin state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
304,Delaware St.,delaware state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
307,Alcorn,alcorn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
