slug,collegeName,division,conference,currentBaseballWebsiteUrl,replacementBaseballWebsiteUrl,reviewStatus
southern-wesleyan,Southern Wesleyan,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
young-harris,Young Harris,NCAA_D2,Carolinas,,,NEEDS_REPLACEMENT
d-youville,D'Youville,NCAA_D2,ECC,,,NEEDS_REPLACEMENT
mercy,Mercy,NCAA_D2,ECC,,,NEEDS_REPLACEMENT
molloy,Molloy,NCAA_D2,ECC,,,NEEDS_REPLACEMENT
queens-ny,Queens (NY),NCAA_D2,ECC,,,NEEDS_REPLACEMENT
staten-island,Staten Island,NCAA_D2,ECC,,,NEEDS_REPLACEMENT
ashland,Ashland,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
cedarville,Cedarville,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
findlay,Findlay,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
hillsdale,Hillsdale,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
kentucky-wesleyan,Kentucky Wesleyan,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
lake-erie,Lake Erie,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
malone,Malone,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
northwood,Northwood,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
ohio-dominican,Ohio Dominican,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
thomas-more,Thomas More,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
tiffin,Tiffin,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
walsh,Walsh,NCAA_D2,G-MAC,,,NEEDS_REPLACEMENT
arkansas-tech,Arkansas Tech,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
arkansas-monticello,Arkansas–Monticello,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
east-central,East Central,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
harding,Harding,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
henderson-state,Henderson State,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
northwestern-oklahoma-state,Northwestern Oklahoma State,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
oklahoma-baptist,Oklahoma Baptist,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
ouachita-baptist,Ouachita Baptist,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
southeastern-oklahoma-state,Southeastern Oklahoma State,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
southern-arkansas,Southern Arkansas,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
southern-nazarene,Southern Nazarene,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
southwestern-oklahoma-state,Southwestern Oklahoma State,NCAA_D2,GAC,,,NEEDS_REPLACEMENT
davenport,Davenport,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
grand-valley-state,Grand Valley State,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
parkside,Parkside,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
purdue-northwest,Purdue Northwest,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
roosevelt,Roosevelt,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
saginaw-valley-state,Saginaw Valley State,NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
wayne-state-mi,Wayne State (MI),NCAA_D2,GLIAC,,,NEEDS_REPLACEMENT
drury,Drury,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
indianapolis,Indianapolis,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
lewis,Lewis,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
lincoln-mo,Lincoln (MO),NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
maryville-mo,Maryville (MO),NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
mckendree,McKendree,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
missouri-s-and-t,Missouri S&T,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
quincy,Quincy,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
rockhurst,Rockhurst,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
southwest-baptist,Southwest Baptist,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
truman,Truman,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
uis,UIS,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
upper-iowa,Upper Iowa,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
william-jewell,William Jewell,NCAA_D2,GLVC,,,NEEDS_REPLACEMENT
central-washington,Central Washington,NCAA_D2,GNAC,,,NEEDS_REPLACEMENT
montana-state-billings,Montana State–Billings,NCAA_D2,GNAC,,,NEEDS_REPLACEMENT
northwest-nazarene,Northwest Nazarene,NCAA_D2,GNAC,,,NEEDS_REPLACEMENT
saint-martin-s,Saint Martin's,NCAA_D2,GNAC,,,NEEDS_REPLACEMENT
western-oregon,Western Oregon,NCAA_D2,GNAC,,,NEEDS_REPLACEMENT
alabama-huntsville,Alabama–Huntsville,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
auburn-montgomery,Auburn Montgomery,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
christian-brothers,Christian Brothers,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
delta-state,Delta State,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
lee,Lee,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
mississippi-college,Mississippi College,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
montevallo,Montevallo,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
trevecca-nazarene,Trevecca Nazarene,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
union,Union,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
valdosta-state,Valdosta State,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
west-alabama,West Alabama,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
west-florida,West Florida,NCAA_D2,Gulf South,,,NEEDS_REPLACEMENT
bluefield-state,Bluefield State,NCAA_D2,Independent,,,NEEDS_REPLACEMENT
salem,Salem,NCAA_D2,Independent,,,NEEDS_REPLACEMENT
virginia-state,Virginia State,NCAA_D2,Independent,,,NEEDS_REPLACEMENT
angelo-state,Angelo State,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
cameron,Cameron,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
eastern-new-mexico,Eastern New Mexico,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
lubbock-christian,Lubbock Christian,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
oklahoma-christian,Oklahoma Christian,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
sul-ross-state,Sul Ross State,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
texas-a-and-m-international,Texas A&M International,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
ut-dallas,UT Dallas,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
ut-permian-basin,UT Permian Basin,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
ut-tyler,UT Tyler,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
west-texas-a-and-m,West Texas A&M,NCAA_D2,Lone Star,,,NEEDS_REPLACEMENT
charleston-wv,Charleston (WV),NCAA_D2,MEC,,,NEEDS_REPLACEMENT
concord,Concord,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
davis-and-elkins,Davis & Elkins,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
fairmont-state,Fairmont State,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
frostburg-state,Frostburg State,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
glenville-state,Glenville State,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
point-park,Point Park,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
west-liberty,West Liberty,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
west-virginia-state,West Virginia State,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
west-virginia-wesleyan,West Virginia Wesleyan,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
wheeling,Wheeling,NCAA_D2,MEC,,,NEEDS_REPLACEMENT
arkansas-fort-smith,Arkansas–Fort Smith,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
central-missouri,Central Missouri,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
central-oklahoma,Central Oklahoma,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
emporia-state,Emporia State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
fort-hays-state,Fort Hays State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
missouri-southern,Missouri Southern,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
missouri-western,Missouri Western,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
newman,Newman,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
northeastern-state,Northeastern State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
northwest-missouri-state,Northwest Missouri State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
pittsburg-state,Pittsburg State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
rogers-state,Rogers State,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
washburn,Washburn,NCAA_D2,MIAA,,,NEEDS_REPLACEMENT
adelphi,Adelphi,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
american-international,American International,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
assumption,Assumption,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
bentley,Bentley,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
franklin-pierce,Franklin Pierce,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
pace,Pace,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
saint-anselm,Saint Anselm,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
saint-michael-s,Saint Michael's,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
southern-connecticut,Southern Connecticut,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
southern-new-hampshire,Southern New Hampshire,NCAA_D2,NE-10,,,NEEDS_REPLACEMENT
augustana,Augustana,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
bemidji-state,Bemidji State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
concordia-st-paul,Concordia–St. Paul,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
mary,Mary,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
minnesota-state,Minnesota State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
minnesota-crookston,Minnesota–Crookston,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
minnesota-duluth,Minnesota–Duluth,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
minot-state,Minot State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
northern-state,Northern State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
sioux-falls,Sioux Falls,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
southwest-minnesota-state,Southwest Minnesota State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
wayne-state-ne,Wayne State (NE),NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
winona-state,Winona State,NCAA_D2,NSIC,,,NEEDS_REPLACEMENT
bloomsburg,Bloomsburg,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
california-pa,California (PA),NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
clarion,Clarion,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
east-stroudsburg,East Stroudsburg,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
gannon,Gannon,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
iup,IUP,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
kutztown,Kutztown,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
lock-haven,Lock Haven,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
mansfield,Mansfield,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
millersville,Millersville,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
pitt-johnstown,Pitt–Johnstown,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
seton-hill,Seton Hill,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
shepherd,Shepherd,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
shippensburg,Shippensburg,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
slippery-rock,Slippery Rock,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
west-chester,West Chester,NCAA_D2,PSAC,,,NEEDS_REPLACEMENT
azusa-pacific,Azusa Pacific,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
biola,Biola,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
chaminade,Chaminade,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
concordia-irvine,Concordia–Irvine,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
fresno-pacific,Fresno Pacific,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
hawai-i-pacific,Hawaiʻi Pacific,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
jessup,Jessup,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
menlo,Menlo,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
point-loma-nazarene,Point Loma Nazarene,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
vanguard,Vanguard,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
westmont,Westmont,NCAA_D2,PacWest,,,NEEDS_REPLACEMENT
augusta,Augusta,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
claflin,Claflin,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
columbus-state,Columbus State,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
flagler,Flagler,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
georgia-college,Georgia College,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
georgia-southwestern-state,Georgia Southwestern State,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
lander,Lander,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
middle-georgia,Middle Georgia,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
north-georgia,North Georgia,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
usc-aiken,USC Aiken,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
usc-beaufort,USC Beaufort,NCAA_D2,Peach Belt,,,NEEDS_REPLACEMENT
adams-state,Adams State,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
csu-pueblo,CSU Pueblo,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
colorado-christian,Colorado Christian,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
colorado-mesa,Colorado Mesa,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
colorado-mines,Colorado Mines,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
metropolitan-state,Metropolitan State,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
new-mexico-highlands,New Mexico Highlands,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
regis,Regis,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
uccs,UCCS,NCAA_D2,RMAC,,,NEEDS_REPLACEMENT
anderson,Anderson,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
carson-newman,Carson–Newman,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
catawba,Catawba,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
coker,Coker,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
emory-and-henry,Emory & Henry,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
lenoir-rhyne,Lenoir–Rhyne,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
lincoln-memorial,Lincoln Memorial,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
mars-hill,Mars Hill,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
newberry,Newberry,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
tusculum,Tusculum,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
wingate,Wingate,NCAA_D2,SAC,,,NEEDS_REPLACEMENT
albany-state,Albany State,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
benedict,Benedict,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
clark-atlanta,Clark Atlanta,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
edward-waters,Edward Waters,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
kentucky-state,Kentucky State,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
lane,Lane,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
lemoyne-owen,LeMoyne–Owen,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
miles,Miles,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
morehouse,Morehouse,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
savannah-state,Savannah State,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
spring-hill,Spring Hill,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
tuskegee,Tuskegee,NCAA_D2,SIAC,,,NEEDS_REPLACEMENT
barry,Barry,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
eckerd,Eckerd,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
florida-southern,Florida Southern,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
florida-tech,Florida Tech,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
lynn,Lynn,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
nova-southeastern,Nova Southeastern,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
palm-beach-atlantic,Palm Beach Atlantic,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
rollins,Rollins,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
saint-leo,Saint Leo,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
tampa,Tampa,NCAA_D2,SSC,,,NEEDS_REPLACEMENT
central-baptist,Central Baptist,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/centralbaptistar,,NEEDS_REPLACEMENT
columbia,Columbia,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/columbiamo,,NEEDS_REPLACEMENT
crowley-s-ridge,Crowley's Ridge,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/crowleysridgear,,NEEDS_REPLACEMENT
hannibal-lagrange,Hannibal-LaGrange,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/hanniballagrangemo,,NEEDS_REPLACEMENT
harris-stowe,Harris-Stowe,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/harrisstowemo,,NEEDS_REPLACEMENT
mission,Mission,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/missionmo,,NEEDS_REPLACEMENT
missouri-baptist,Missouri Baptist,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/missouribaptist,,NEEDS_REPLACEMENT
uhsp,UHSP,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/uhsp,,NEEDS_REPLACEMENT
william-woods,William Woods,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/williamwoodsmo,,NEEDS_REPLACEMENT
williams-baptist,Williams Baptist,NAIA,American Midwest Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/williamsbaptistar,,NEEDS_REPLACEMENT
bluefield,Bluefield,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bluefieldva,,NEEDS_REPLACEMENT
bryan,Bryan,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bryantn,,NEEDS_REPLACEMENT
ciu,CIU,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/ciusc,,NEEDS_REPLACEMENT
johnson,Johnson,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/johnsontn,,NEEDS_REPLACEMENT
kentucky-christian,Kentucky Christian,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/kentuckychristian,,NEEDS_REPLACEMENT
milligan,Milligan,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/milligantn,,NEEDS_REPLACEMENT
montreat,Montreat,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/montreatnc,,NEEDS_REPLACEMENT
pikeville,Pikeville,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/pikevilleky,,NEEDS_REPLACEMENT
reinhardt,Reinhardt,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/reinhardtga,,NEEDS_REPLACEMENT
st-andrews,St. Andrews,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/standrewsnc,,NEEDS_REPLACEMENT
tennessee-wesleyan,Tennessee Wesleyan,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/tennesseewesleyan,,NEEDS_REPLACEMENT
truett-mcconnell,Truett McConnell,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/truettmcconnell,,NEEDS_REPLACEMENT
union-commonwealth,Union Commonwealth,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/unioncommonwealth,,NEEDS_REPLACEMENT
british-columbia,British Columbia,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/britishcolumbia,,NEEDS_REPLACEMENT
bushnell,Bushnell,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/bushnellor,,NEEDS_REPLACEMENT
college-of-idaho,College of Idaho,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/collegeofidaho,,NEEDS_REPLACEMENT
corban,Corban,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/corbanor,,NEEDS_REPLACEMENT
eastern-oregon,Eastern Oregon,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/easternoregon,,NEEDS_REPLACEMENT
lewis-clark-state,Lewis-Clark State,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lewisclarkstate,,NEEDS_REPLACEMENT
oregon-tech,Oregon Tech,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/oregontech,,NEEDS_REPLACEMENT
calumet,Calumet,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/calumetin,,NEEDS_REPLACEMENT
indiana-south-bend,Indiana South Bend,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/indianasouthbend,,NEEDS_REPLACEMENT
judson,Judson,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/judsonil,,NEEDS_REPLACEMENT
