slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
university-of-tennessee,University of Tennessee,,Agriculture|History|Social Work,Architecture|Engineering|Literature,Agriculture|History|Social Work,6,3,https://www.utk.edu/areas-of-study,WRITTEN
university-of-tennessee-at-martin,University of Tennessee at Martin,,Agriculture|Education|Engineering,Accounting|Chemistry|Computer Science|Economics|Finance|Information Systems|Mathematics|Nursing|Philosophy|Physics|Political Science|Psychology|Statistics,Agriculture|Education|Engineering,16,3,https://www.utm.edu/academics,WRITTEN
university-of-texas,University of Texas,Education,Art|Business|Engineering,Architecture|Entrepreneurship|Nursing|Social Work,Education|Art|Business|Engineering,8,4,https://www.utexas.edu/academics,WRITTEN
university-of-texas-arlington,University of Texas Arlington,,Architecture|Education,Engineering|Nursing|Social Work,Architecture|Education,5,2,https://www.uta.edu/academics,WRITTEN
university-of-texas-rio-grande-valley,University of Texas Rio Grande Valley,Accounting|Business|Computer Science|Education|Engineering|Entrepreneurship|Mechanical Engineering,Data Analytics|English|Mathematics|Nursing|Social Work,,Accounting|Business|Computer Science|Education|Engineering|Entrepreneurship|Mechanical Engineering|Data Analytics|English|Mathematics|Nursing|Social Work,12,12,https://www.utrgv.edu/academics,WRITTEN
university-of-texas-at-dallas,University of Texas at Dallas,Education,Engineering|Human Resources|Management,,Education|Engineering|Human Resources|Management,4,4,https://www.utdallas.edu/academics,WRITTEN
university-of-texas-at-el-paso,University of Texas at El Paso,Education,Computer Science|Mechanical Engineering|Nursing|Psychology,Criminal Justice|Cybersecurity|Economics|Engineering|Finance|Statistics,Education|Computer Science|Mechanical Engineering|Nursing|Psychology,11,5,https://www.utep.edu,WRITTEN
university-of-texas-at-san-antonio,University of Texas at San Antonio,Education|Public Health,Art|Biomedical Sciences|Business|Criminal Justice|Cybersecurity|Data Science|Engineering|History|Nursing|Psychology|Public Administration,Sociology,Education|Public Health|Art|Biomedical Sciences|Business|Criminal Justice|Cybersecurity|Data Science|Engineering|History|Nursing|Psychology|Public Administration,14,13,https://www.utsa.edu/academics,WRITTEN
university-of-toledo,University of Toledo,Business|Education|Engineering|Management|Mathematics|Nursing,Communications|Human Services|Marketing|Psychology|Social Work,Criminal Justice|Human Resources|Information Technology|International Business|Web Development,Business|Education|Engineering|Management|Mathematics|Nursing|Communications|Human Services|Marketing|Psychology|Social Work,16,11,https://www.utoledo.edu/academics,WRITTEN
university-of-utah,University of Utah,Art,Art History|Biology|Education|History|Music|Neuroscience,,Art|Art History|Biology|Education|History|Music|Neuroscience,7,7,https://www.utah.edu,WRITTEN
university-of-valley-forge,University of Valley Forge,Education|History,Digital Media|Music,Communications,Education|History|Digital Media|Music,5,4,https://valleyforge.edu/academics,WRITTEN
university-of-virginia,University of Virginia,Business|Data Science|Education|Engineering|Nursing,Architecture|History|Kinesiology,,Business|Data Science|Education|Engineering|Nursing|Architecture|History|Kinesiology,8,8,https://www.virginia.edu/academics,WRITTEN
university-of-washington,University of Washington,Education,,Biology|Engineering|Information Technology,Education,4,1,https://www.washington.edu/academics,WRITTEN
university-of-west-georgia,University of West Georgia,Business|Mathematics,Communications|Education|Management|Nursing,,Business|Mathematics|Communications|Education|Management|Nursing,6,6,https://www.westga.edu/academics,WRITTEN
wisconsin,University of Wisconsin,,Accounting|Business|Education,,Accounting|Business|Education,3,3,https://www.wisc.edu/academics,WRITTEN
university-of-wisconsin-milwaukee,University of Wisconsin Milwaukee,,Architecture|Art|Education|Engineering,Economics,Architecture|Art|Education|Engineering,5,4,https://uwm.edu/academics,WRITTEN
university-of-wisconsin-eau-claire,University of Wisconsin-Eau Claire,Education,Business|Nursing,Public Health,Education|Business|Nursing,4,3,https://www.uwec.edu/academics,WRITTEN
