collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyConference,canonicalConference,baseballWebsiteUrl,importedCoachCount
cmou869si00kxqtjk4hq2v3uw,The Citadel,the-citadel,Charleston,SC,,NCAA_D1,,SoCon,https://citadelsports.com/sports/baseball,4
cmou72rkm00ciqtt8z62e367q,Towson University,towson-university,Towson,MD,,NCAA_D1,,,https://towsontigers.com/sports/baseball,4
cmou3bznt006lqtvom504k4vr,Troy University,troy-university,Troy,AL,,NCAA_D1,,Sun Belt,https://troytrojans.com/sports/baseball,4
cmou57ejn0086qtdwaxqor803,Tulane University,tulane-university,New Orleans,LA,,NCAA_D1,,,https://tulanegreenwave.com/sports/baseball,4
cmosun0bd0056qtlg87u13vxx,UCF,ucf,Orlando,FL,,NCAA_D1,,,https://ucfknights.com/sports/baseball,4
cmossumq5003xqtpgz2376dpb,UCLA,ucla,Los Angeles,CA,,NCAA_D1,,,https://uclabruins.com/sports/baseball,4
cmou6tv8i00boqti0vjvm8aer,UNC Asheville,unc-asheville,Asheville,NC,,NCAA_D1,,,https://uncabulldogs.com/sports/baseball,2
cmou72rm100clqtt8q8b00o3c,UNC Wilmington,unc-wilmington,Wilmington,NC,,NCAA_D1,,CAA,https://uncwsports.com/sports/baseball,4
cmou6tv9y00brqti0h1og2mt7,USC Upstate,usc-upstate,Spartanburg,SC,,NCAA_D1,,,https://upstatespartans.com/sports/baseball,4
cmou7skcx00foqtagxk69btib,University of Akron,university-of-akron,Akron,OH,,NCAA_D1,,MAC,https://gozips.com/sports/baseball,3
cmosp9qb0001cqtyg3bj9jezt,University of Alabama,university-of-alabama,Tuscaloosa,AL,,NCAA_D1,,SEC,https://rolltide.com/sports/baseball,5
cmou57e5s007iqtdwb3g795nq,University of Alabama at Birmingham,university-of-alabama-at-birmingham,Birmingham,AL,,NCAA_D1,,,https://uabsports.com/sports/baseball,5
cmosp9qcd001fqtygqtxktpzw,University of Arkansas,university-of-arkansas,Fayetteville,AR,,NCAA_D1,,SEC,https://arkansasrazorbacks.com/sport/m-basebl,0
cmou8253h00juqtfoheeskxep,University of Arkansas at Little Rock,university-of-arkansas-at-little-rock,Little Rock,AR,,NCAA_D1,,Ohio Valley,https://lrtrojans.com/sports/baseball,4
cmou8bklv00nfqtuwyjlpx889,University of Arkansas at Pine Bluff,university-of-arkansas-at-pine-bluff,Pine Bluff,AR,,NCAA_D1,,SWAC,https://uapblionsroar.com/sports/baseball,3
cmosownko0003qtuom8wxpo9s,University of California Berkeley,university-of-california-berkeley,Berkeley,CA,,NCAA_D1,,,https://calbears.com/sports/baseball,4
cmou69282009iqt1gxj2iub11,University of Central Arkansas,university-of-central-arkansas,Conway,AR,,NCAA_D1,,,https://ucasports.com/sports/baseball,4
cmosun02f004lqtlg6en5evwj,University of Cincinnati,university-of-cincinnati,Cincinnati,OH,,NCAA_D1,,,https://gobearcats.com/sports/baseball,4
