collegeId,collegeName,collegeSlug,city,state,collegeDivision,programId,programDivision,conference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmrxrduvx0002qtx0p0ylsk1i,California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,NCAA_D1,cmrxrduvx0003qtx0soqp80bp,NCAA_D1,,https://gopoly.com/sports/baseball,https://gopoly.com/sports/baseball,5,1
cmrxrdw420012qtx020ehnbvb,"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,NCAA_D1,cmrxrdw430013qtx0u2zt3hnb,NCAA_D1,,https://gorunners.com/sports/baseball,https://gorunners.com/sports/baseball,5,1
cmrxrdv5k000aqtx0n7yvm4qz,"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,NCAA_D1,cmrxrdv5k000bqtx0jc47e0av,NCAA_D1,,https://fullertontitans.com/sports/baseball,https://fullertontitans.com/sports/baseball,7,1
cmrxrdwbg0018qtx009x0s1gp,"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,NCAA_D1,cmrxrdwbg0019qtx065a7nbkc,NCAA_D1,,https://longbeachstate.com/sports/baseball,https://longbeachstate.com/sports/baseball,5,1
cmrxrdvwg000wqtx0yuzrgxoa,"California State University, Northridge",california-state-university-northridge,Northridge,CA,NCAA_D1,cmrxrdvwg000xqtx06ncrelya,NCAA_D1,,https://gomatadors.com/sports/baseball,https://gomatadors.com/sports/baseball,5,1
cmrxrdv0r0006qtx0pefhaecs,"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,NCAA_D1,cmrxrdv0r0007qtx0b7ij6uib,NCAA_D1,,https://hornetsports.com/sports/baseball,https://hornetsports.com/sports/baseball,5,1
cmorirv530010qtm0xxcup0nz,Campbell University,campbell-university,Buies Creek,NC,,cmorirv5q0012qtm028k9yq81,NCAA_D1,,,https://gocamels.com/sports/baseball,8,1
cmou7g4yd00erqtkwsinl2cv7,Canisius University,canisius-university,Buffalo,NY,,cmou7g4z200etqtkw6aq7y21m,NCAA_D1,MAAC,,https://gogriffs.com/sports/baseball,4,1
cmou7zw9900j0qt18f8v0lvet,Central Connecticut State University,central-connecticut-state-university,New Britain,CT,,cmou7zwa000j2qt18c7a5hwss,NCAA_D1,Northeast Conference,,https://ccsubluedevils.com/sports/bsb,4,1
cmou7skhl00fxqtagpa6mymfq,Central Michigan University,central-michigan-university,Mount Pleasant,MI,,cmou7skic00fzqtagzifm29yu,NCAA_D1,MAC,,https://cmuchippewas.com/sports/baseball,5,1
cmou6tv0000b6qti0uw8kd0th,Charleston Southern University,charleston-southern-university,Charleston,SC,,cmou6tv0p00b8qti0d062ek6f,NCAA_D1,,,https://csusports.com/sports/baseball,5,1
cmorihuy70003qth8lteegu87,Clemson University,clemson-university,Clemson,SC,,cmorihuzp0005qth8tz9l0qy6,NCAA_D1,,,https://clemsontigers.com/sports/baseball,6,1
cmou3bz97005rqtvofgt7p17h,Coastal Carolina University,coastal-carolina-university,Conway,SC,,cmou3bz9z005tqtvogqtsk7dh,NCAA_D1,Sun Belt,,https://goccusports.com/sports/baseball,8,1
cmorihv0l0006qth8tj4axfti,College of Charleston,college-of-charleston,Charleston,SC,,cmorihv1b0008qth8h0fs6y1x,NCAA_D1,,,https://cofcsports.com/sports/baseball,6,1
cmou853vy00klqtiwxsprvd34,College of the Holy Cross,college-of-the-holy-cross,Worcester,MA,,cmou853wn00knqtiw8etjougs,NCAA_D1,Patriot League,,https://goholycross.com/sports/baseball,4,1
cmou7ekoe00e6qtx8h6vtazjr,Columbia University,columbia-university,New York,NY,,cmou7ekp200e8qtx8qlpcfsh3,NCAA_D1,Ivy League,,https://gocolumbialions.com/sports/baseball,4,1
cmrxrdx7p001yqtx06df9k00j,Coppin State University,coppin-state-university,Baltimore,MD,NCAA_D1,cmrxrdx7p001zqtx0379bykwu,NCAA_D1,,https://coppinstatesports.com/sports/baseball,https://coppinstatesports.com/sports/baseball,5,1
cmou7ekpr00e9qtx8i7bf3vt3,Cornell University,cornell-university,Ithaca,NY,,cmou7ekqf00ebqtx86ws3y8rp,NCAA_D1,Ivy League,,https://cornellbigred.com/sports/baseball,3,1
cmou6ba2k00afqticpp034jhc,Creighton University,creighton-university,Omaha,NE,,cmou6ba3a00ahqtic1dy2e7bu,NCAA_D1,,,https://gocreighton.com/sports/baseball,5,1
cmou3xrou007fqt5sv5iwwby9,Dallas Baptist University,dallas-baptist-university,Dallas,TX,,cmou3xrph007hqt5sgsdjmkeg,NCAA_D1,Conference USA,,https://dbupatriots.com/sports/baseball,9,1
cmou7ekr400ecqtx87gfarbw6,Dartmouth College,dartmouth-college,Hanover,NH,,cmou7ekrs00eeqtx85mv4aiw4,NCAA_D1,Ivy League,,https://dartmouthsports.com/sports/baseball,4,1
cmou65q5g008fqt1ovrpzk161,Davidson College,davidson-college,Davidson,NC,,cmou65q68008hqt1on0mn17uq,NCAA_D1,,,https://davidsonwildcats.com/sports/baseball,5,1
cmou7v13900goqtfg05v8bfsa,Delaware State University,delaware-state-university,Dover,DE,,cmou7v14000gqqtfg74wzxd9d,NCAA_D1,MEAC,,https://dsuhornets.com/sports/baseball,2,1
cmoriruy1000lqtm0hg80trqj,Duke University,duke-university,Durham,NC,,cmoriruyp000nqtm0g4gkgqwd,NCAA_D1,,,https://goduke.com/sports/baseball,7,1
cmoriruzd000oqtm0np271cox,East Carolina University,east-carolina-university,Greenville,NC,,cmorirv02000qqtm0792m94ry,NCAA_D1,,,https://ecupirates.com/sports/baseball,6,1
cmorirvhn001oqtm0h339uelq,East Tennessee State University,east-tennessee-state-university,Johnson City,TN,,cmorirvid001qqtm07p0bazmo,NCAA_D1,SoCon,,https://etsubucs.com/sports/baseball,3,1
cmou8250s00joqtfonibp33ex,Eastern Illinois University,eastern-illinois-university,Charleston,IL,,cmou8251i00jqqtforluc833g,NCAA_D1,Ohio Valley,,https://eiupanthers.com/sports/baseball,5,1
cmou6929i009lqt1gqrj949vt,Eastern Kentucky University,eastern-kentucky-university,Richmond,KY,,cmou692a7009nqt1gx1fvng63,NCAA_D1,,,https://ekusports.com/sports/baseball,6,1
cmou7skj100g0qtagj06bdvsw,Eastern Michigan University,eastern-michigan-university,Ypsilanti,MI,,cmou7skju00g2qtagvnch2szo,NCAA_D1,MAC,,https://emueagles.com/sports/baseball,7,1
cmou72rdk00c3qtt8y45siwr2,Elon University,elon-university,Elon,NC,,cmou72rea00c5qtt8bv7rh2o3,NCAA_D1,,,https://elonphoenix.com/sports/baseball,4,1
cmou7g4zq00euqtkwd42cysuy,Fairfield University,fairfield-university,Fairfield,CT,,cmou7g50f00ewqtkwsbzcsid6,NCAA_D1,MAAC,,https://fairfieldstags.com/sports/baseball,3,1
cmou7zwas00j3qt182wcerpdp,Fairleigh Dickinson University,fairleigh-dickinson-university,Teaneck,NJ,,cmou7zwbj00j5qt18iz4v4hge,NCAA_D1,Northeast Conference,,https://fduknights.com/sports/baseball,7,1
cmou8bkba00muqtuwai4k6w4f,Florida A&M University,florida-am-university,Tallahassee,FL,,cmou8bkc500mwqtuwn4v6624q,NCAA_D1,SWAC,,https://famuathletics.com/sports/baseball,5,1
cmou57eah007rqtdw819u1kd8,Florida Atlantic University,florida-atlantic-university,Boca Raton,FL,,cmou57eba007tqtdwnzaxnsg8,NCAA_D1,,,https://fausports.com/sports/baseball,6,1
cmou692az009oqt1gwyz2tbx3,Florida Gulf Coast University,florida-gulf-coast-university,Fort Myers,FL,,cmou692bn009qqt1g825aij0e,NCAA_D1,,,https://fgcuathletics.com/sports/baseball,4,1
cmou74g3m00cuqtboxefftaxz,Florida International University,florida-international-university,Miami,FL,,cmou74g4a00cwqtbow41onypu,NCAA_D1,Conference USA,,https://fiusports.com/sports/baseball,4,1
cmosownp0000cqtuo7ukk8301,Florida State University,florida-state-university,Tallahassee,FL,,cmosownpr000eqtuok3wn4xee,NCAA_D1,,,https://seminoles.com/sports/baseball,9,1
cmou65q8l008lqt1ozzkwkjhm,Fordham University,fordham-university,Bronx,NY,,cmou65q9a008nqt1ohbgyxbpf,NCAA_D1,,,https://fordhamsports.com/sports/baseball,4,1
cmou3xrg1006uqt5s90fq7wbv,Fresno State,fresno-state,Fresno,CA,,cmou3xrgo006wqt5sawcj9olu,NCAA_D1,Pac-12,,https://gobulldogs.com/sports/baseball,6,1
cmou6tv1f00b9qti056wd26tx,Gardner-Webb University,gardner-webb-university,Boiling Springs,NC,,cmou6tv2500bbqti0uzylvved,NCAA_D1,,,https://gwusports.com/sports/baseball,9,1
cmou65q9z008oqt1ow67o9q0x,George Mason University,george-mason-university,Fairfax,VA,,cmou65qaq008qqt1oh4skw4mn,NCAA_D1,,,https://gomason.com/sports/baseball,4,1
cmou65qbg008rqt1omiz03mq1,George Washington University,george-washington-university,Washington,DC,,cmou65qc7008tqt1otrt39c9e,NCAA_D1,,,https://gwsports.com/sports/baseball,5,1
cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,Washington,DC,,cmou6ba6000anqticmefr3evw,NCAA_D1,,,https://guhoyas.com/sports/baseball,3,1
cmou3bzar005uqtvotuqjjtpj,Georgia Southern University,georgia-southern-university,Statesboro,GA,,cmou3bzbf005wqtvoa5yx0t5p,NCAA_D1,Sun Belt,,https://gseagles.com/sports/baseball,10,1
cmou3bzc7005xqtvobxbfhhf1,Georgia State University,georgia-state-university,Atlanta,GA,,cmou3bzcy005zqtvo3urwyp5m,NCAA_D1,Sun Belt,,https://georgiastatesports.com/sports/baseball,4,1
cmorirv940019qtm0y88vy537,Georgia Tech,georgia-tech,Atlanta,GA,,cmorirv9s001bqtm0xz16xnel,NCAA_D1,,,https://ramblinwreck.com/sports/m-basebl,6,1
cmou3xrhd006xqt5sy8mx7xfp,Gonzaga University,gonzaga-university,Spokane,WA,,cmou3xrhz006zqt5svvnwi1wg,NCAA_D1,West Coast Conference,,https://gozags.com/sports/baseball,5,1
cmou8bkcv00mxqtuw4jh5usi0,Grambling State University,grambling-state-university,Grambling,LA,,cmou8bkdk00mzqtuw3pctg8sc,NCAA_D1,SWAC,,https://gsutigers.com/sports/baseball,4,1
cmou8ctjw00noqtloejv6g4yk,Grand Canyon University,grand-canyon-university,Phoenix,AZ,,cmou8ctkk00nqqtlo7h4rploa,NCAA_D1,WAC,,https://gculopes.com/sports/baseball,3,1
cmou7eksh00efqtx82hcfwyn5,Harvard University,harvard-university,Cambridge,MA,,cmou7ekt600ehqtx8psyqlq39,NCAA_D1,Ivy League,,https://gocrimson.com/sports/baseball,5,1
cmorirv3o000xqtm0dw9r5xuo,High Point University,high-point-university,High Point,NC,,cmorirv4e000zqtm091dbu3g3,NCAA_D1,,,https://highpointpanthers.com/sports/baseball,6,1
cmrxrdvfe000iqtx0ig0l8op3,Hofstra University,hofstra-university,Hempstead,NY,NCAA_D1,cmrxrdvfe000jqtx0aajwcz1y,NCAA_D1,,https://gohofstra.com/sports/baseball,https://gohofstra.com/sports/baseball,5,1
cmou87s2600loqt8ogi952e7u,Houston Christian University,houston-christian-university,Houston,TX,,cmou87s2z00lqqt8oy3ac0hd5,NCAA_D1,Southland,,https://hcuhuskies.com/sports/baseball,8,1
cmou7wke000hcqt5sqqhjpdb9,Illinois State University,illinois-state-university,Normal,IL,,cmou7wkeo00heqt5sc53q9gdn,NCAA_D1,Missouri Valley,,https://goredbirds.com/sports/baseball,4,1
cmou7wkff00hfqt5sve6yzh1q,Indiana State University,indiana-state-university,Terre Haute,IN,,cmou7wkg500hhqt5skxa5byu1,NCAA_D1,Missouri Valley,,https://gosycamores.com/sports/baseball,4,1
cmoss3ude002rqtaoztf1hdin,Indiana University,indiana-university,Bloomington,IN,,cmoss3ue6002tqtaoogo4t1i5,NCAA_D1,,,https://iuhoosiers.com/sports/baseball,7,1
cmrxrdwgj001cqtx02229j520,Iona University,iona-university,New Rochelle,NY,NCAA_D1,cmrxrdwgj001dqtx07c74syg6,NCAA_D1,,https://ionagaels.com/sports/baseball,https://ionagaels.com/sports/baseball,3,1
cmou8bked00n0qtuwpp2lpp75,Jackson State University,jackson-state-university,Jackson,MS,,cmou8bkf300n2qtuwklvjxrw9,NCAA_D1,SWAC,,https://gojsutigers.com/sports/baseball,4,1
cmou74g4y00cxqtbo8mt66c5s,Jacksonville State University,jacksonville-state-university,Jacksonville,AL,,cmou74g5m00czqtbo27ri2tut,NCAA_D1,Conference USA,,https://jsugamecocksports.com/sports/baseball,7,1
cmou692c9009rqt1gyfzu2me9,Jacksonville University,jacksonville-university,Jacksonville,FL,,cmou692cy009tqt1gvkh1u2u0,NCAA_D1,,,https://judolphins.com/sports/baseball,6,1
cmorirvnh0020qtm0zmpqk8ha,James Madison University,james-madison-university,Harrisonburg,VA,,cmorirvo80022qtm0v8nc60z1,NCAA_D1,Sun Belt,,https://jmusports.com/sports/baseball,5,1
cmosun069004uqtlgldcwzyyz,Kansas State University,kansas-state-university,Manhattan,KS,,cmosun06w004wqtlghra8useq,NCAA_D1,,,https://www.kstatesports.com/sports/baseball,9,1
cmorirvat001cqtm0g8f0pvoh,Kennesaw State University,kennesaw-state-university,Kennesaw,GA,,cmorirvc4001eqtm05q6w6boq,NCAA_D1,Conference USA,,https://ksuowls.com/sports/baseball,7,1
cmou7skkk00g3qtagy6vhez1y,Kent State University,kent-state-university,Kent,OH,,cmou7skla00g5qtagy804ec2z,NCAA_D1,MAC,,https://kentstatesports.com/sports/baseball,7,1
cmou7zwdt00j9qt182aa9w7js,LIU,liu,Brookville,NY,,cmou7zwek00jbqt1882s0u4lt,NCAA_D1,Northeast Conference,,https://www.liuathletics.com/sports/baseball,4,1
cmrxrdwix001eqtx00kpcsp7u,La Salle University,la-salle-university,Philadelphia,PA,NCAA_D1,cmrxrdwix001fqtx0yvg19whw,NCAA_D1,,https://goexplorers.com/sports/baseball,https://goexplorers.com/sports/baseball,4,1
cmou853xc00koqtiw191jfymh,Lafayette College,lafayette-college,Easton,PA,,cmou853xz00kqqtiw0169j0ad,NCAA_D1,Patriot League,,https://goleopards.com/sports/baseball,4,1
cmou87s5i00luqt8onj1dfzgw,Lamar University,lamar-university,Beaumont,TX,,cmou87s6900lwqt8ovwn8avii,NCAA_D1,Southland,,https://lamarcardinals.com/sports/baseball,4,1
cmou7zwca00j6qt18z0kal3jh,Le Moyne College,le-moyne-college,Syracuse,NY,,cmou7zwd100j8qt186gxo44jm,NCAA_D1,Northeast Conference,,https://lemoynedolphins.com/sports/baseball,2,1
cmou853yn00krqtiwxft9rpx6,Lehigh University,lehigh-university,Bethlehem,PA,,cmou853zf00ktqtiwls9maf65,NCAA_D1,Patriot League,,https://lehighsports.com/sports/baseball,4,1
cmorirvly001xqtm0tzybydoz,Liberty University,liberty-university,Lynchburg,VA,,cmorirvmo001zqtm0q8nwguf6,NCAA_D1,Conference USA,,https://libertyflames.com/sports/baseball,6,1
cmrxrdvrp000sqtx0hjg388or,Lindenwood University,lindenwood-university,St. Charles,MO,NCAA_D1,cmrxrdvrp000tqtx04pi8umsn,NCAA_D1,,https://lindenwoodsl-sports.com/sports/baseball,https://lindenwoodsl-sports.com/sports/baseball,3,1
cmrxrdvmr000oqtx0l0cy9bc4,Lipscomb University,lipscomb-university,Nashville,TN,NCAA_D1,cmrxrdvmr000pqtx039avvtsm,NCAA_D1,,https://lipscombsports.com/sports/baseball,https://lipscombsports.com/sports/baseball,6,1
cmou6tv4900bfqti0dl5zm88o,Longwood University,longwood-university,Farmville,VA,,cmou6tv4y00bhqti0f4aa9zgu,NCAA_D1,,,https://longwoodlancers.com/sports/baseball,4,1
cmosp9qiy001uqtygr9z70e4d,Louisiana State University,louisiana-state-university,Baton Rouge,LA,,cmosp9qjl001wqtygay3k1f31,NCAA_D1,SEC,,https://lsusports.net/sports/bsb/,10,1
cmou74g9400d6qtbozjfls2vs,Louisiana Tech University,louisiana-tech-university,Ruston,LA,,cmou74g9u00d8qtbof7zmonqa,NCAA_D1,Conference USA,,https://latechsports.com/sports/baseball,9,1
cmou8ea7q00ofqt6st8tp4yo9,Loyola Marymount University,loyola-marymount-university,Los Angeles,CA,,cmou8ea8i00ohqt6se9ges7t9,NCAA_D1,West Coast Conference,,https://lmulions.com/sports/baseball,5,1
cmou7g51200exqtkwf7kuasw3,Manhattan University,manhattan-university,Bronx,NY,,cmou7g51s00ezqtkwxetc5qqx,NCAA_D1,MAAC,,https://gojaspers.com/sports/baseball,3,1
cmou7g52f00f0qtkwt9df4qnj,Marist University,marist-university,Poughkeepsie,NY,,cmou7g53400f2qtkwqmbg3tkd,NCAA_D1,MAAC,,https://goredfoxes.com/sports/baseball,3,1
cmou3bzgk0066qtvox0ta1p15,Marshall University,marshall-university,Huntington,WV,,cmou3bzhc0068qtvojrm3rzyk,NCAA_D1,Sun Belt,,https://herdzone.com/sports/baseball,5,1
cmou87s7p00lxqt8o8ol0m0nw,McNeese State University,mcneese-state-university,Lake Charles,LA,,cmou87s8g00lzqt8ofnxh0lqd,NCAA_D1,Southland,,https://mcneesesports.com/sports/baseball,2,1
cmorirvda001fqtm0bda9w5vn,Mercer University,mercer-university,Macon,GA,,cmorirve1001hqtm0mjm0p8oa,NCAA_D1,SoCon,,https://mercerbears.com/sports/baseball,5,1
cmrxrdx2r001uqtx08t9pdpzs,Mercyhurst University,mercyhurst-university,Erie,PA,NCAA_D1,cmrxrdx2r001vqtx0g26ttkv4,NCAA_D1,,https://hurstathletics.com/sports/baseball,https://hurstathletics.com/sports/baseball,4,1
cmou7zwf900jcqt18wr5yrl6b,Merrimack College,merrimack-college,North Andover,MA,,cmou7zwfz00jeqt18k733ahlx,NCAA_D1,Northeast Conference,,https://merrimackathletics.com/sports/baseball,4,1
cmou7sknj00g9qtagx86tk6jp,Miami University,miami-university,Oxford,OH,,cmou7skoa00gbqtagdohm68a4,NCAA_D1,MAC,,https://miamiredhawks.com/sports/baseball,4,1
cmoss3uj00033qtao6edcy6t4,Michigan State University,michigan-state-university,East Lansing,MI,,cmoss3ujo0035qtaocvcas0pr,NCAA_D1,,,https://msuspartans.com/sports/baseball,4,1
cmou74gai00d9qtbom8p5uos8,Middle Tennessee State University,middle-tennessee-state-university,Murfreesboro,TN,,cmou74gb600dbqtboufydjjon,NCAA_D1,Conference USA,,https://goblueraiders.com/sports/baseball,6,1
cmosp9qlj0020qtygmlse1hvz,Mississippi State University,mississippi-state-university,Starkville,MS,,cmosp9qm90022qtygo9hvl54a,NCAA_D1,SEC,,https://hailstate.com/sports/baseball,8,1
cmou8bkft00n3qtuwhngsikpf,Mississippi Valley State University,mississippi-valley-state-university,Itta Bena,MS,,cmou8bkgi00n5qtuwywlmdln3,NCAA_D1,SWAC,,https://mvsusports.com/sports/baseball,6,1
cmou7wkgw00hiqt5sseedt2ma,Missouri State University,missouri-state-university,Springfield,MO,,cmou7wkhn00hkqt5sbhclevc1,NCAA_D1,Missouri Valley,,https://missouristatebears.com/sports/baseball,6,1
cmou72rez00c6qtt8vg07t3mb,Monmouth University,monmouth-university,West Long Branch,NJ,,cmou72rfn00c8qtt8hwktn20p,NCAA_D1,,,https://monmouthhawks.com/sports/baseball,4,1
cmou8254z00jxqtfojfw5nai9,Morehead State University,morehead-state-university,Morehead,KY,,cmou8255p00jzqtfoxtl707lf,NCAA_D1,Ohio Valley,,https://msueagles.com/sports/baseball,4,1
cmou7g53u00f3qtkwb9q8949c,Mount St. Mary's University,mount-st-marys-university,Emmitsburg,MD,,cmou7g54k00f5qtkwzdidrcxk,NCAA_D1,MAAC,,https://mountathletics.com/sports/baseball,5,1
cmou7wkih00hlqt5s33909h6i,Murray State University,murray-state-university,Murray,KY,,cmou7wkj800hnqt5sekexg9mi,NCAA_D1,Ohio Valley,,https://goracers.com/sports/baseball,5,1
cmou8540400kuqtiws5720no0,Naval Academy,naval-academy,Annapolis,MD,,cmou8540s00kwqtiwqdx2wzj0,NCAA_D1,Patriot League,,https://navysports.com/sports/baseball,5,1
cmrxrdwvd001oqtx01us0hgnh,New Jersey Institute of Technology,new-jersey-institute-of-technology,Newark,NJ,NCAA_D1,cmrxrdwvd001pqtx0ya8nunsf,NCAA_D1,,https://njithighlanders.com/sports/baseball,https://njithighlanders.com/sports/baseball,5,1
cmou74gbw00dcqtbol3sfoqsv,New Mexico State University,new-mexico-state-university,Las Cruces,NM,,cmou74gcl00deqtboo14o1rx4,NCAA_D1,Conference USA,,https://nmstatesports.com/sports/baseball,4,1
cmou7g55900f6qtkwnbzbwha4,Niagara University,niagara-university,Niagara University,NY,,cmou7g55y00f8qtkwgjqz1y2q,NCAA_D1,MAAC,,https://purpleeagles.com/sports/baseball,2,1
cmou87sao00m3qt8o9ltpx7xj,Nicholls State University,nicholls-state-university,Thibodaux,LA,,cmou87sbe00m5qt8o3c4bkqxp,NCAA_D1,Southland,,https://geauxcolonels.com/sports/baseball,6,1
cmou7v16500guqtfgg29wl5pq,Norfolk State University,norfolk-state-university,Norfolk,VA,,cmou7v16v00gwqtfgg233rx6f,NCAA_D1,MEAC,,https://nsuspartans.com/sports/baseball,4,1
cmou72rgb00c9qtt82x6a8jc6,North Carolina A&T State University,north-carolina-at-state-university,Greensboro,NC,,cmou72rh100cbqtt8n0exf72o,NCAA_D1,,,https://ncataggies.com/sports/baseball,4,1
cmoriruwm000iqtm02t4sd889,North Carolina State University,north-carolina-state-university,Raleigh,NC,,cmoriruxc000kqtm0j7aburmj,NCAA_D1,,,https://gopack.com/sports/baseball,6,1
cmrxrdwqb001kqtx0uc6w3nfo,North Dakota State University,north-dakota-state-university,Fargo,ND,NCAA_D1,cmrxrdwqb001lqtx0a6eckvlu,NCAA_D1,,https://gobison.com/sports/baseball,https://gobison.com/sports/baseball,2,1
cmou72rhq00ccqtt8mnchz644,Northeastern University,northeastern-university,Boston,MA,,cmou72rih00ceqtt8pvkwzi7n,NCAA_D1,CAA,,https://nuhuskies.com/sports/baseball,7,1
cmou7skp000gcqtag9gme0a5g,Northern Illinois University,northern-illinois-university,DeKalb,IL,,cmou7skpt00geqtagbn7zudpp,NCAA_D1,MAC,,https://niuhuskies.com/sports/baseball,3,1
