rank,ncaaSchool,normalizedNcaa,status,candidateCount,primaryMatchReason,primaryScore,collegeId,collegeName,collegeSlug,city,state,legacyCollegeDivision,collegeConference,programId,programDivision,programConference,baseballWebsiteUrl,candidateSummary,season,source
141,Maine,maine,COLLEGE_AND_PROGRAM_MISSING,5,,,,,,,,,,,,,,"University of Maine, Farmington | TOKEN_MATCH | 85 | cmovoryp700puqt7ga0pecw84 | cmovorypy00pwqt7ghptgzmbp | NCAA_D3 || University of Southern Maine | TOKEN_MATCH | 85 | cmovorzdu00r9qt7g2t1nrqsw | cmovorzem00rbqt7gkewx9dsm | NCAA_D3 || Maine Maritime Academy | TOKEN_MATCH | 80 | cmovorsez00doqt7gfytli0mo | cmovorsfo00dqqt7gnyixdc9p | NCAA_D3 || Saint Joseph's College (Maine) | TOKEN_MATCH | 80 | cmovorw3z00krqt7gdq5zu3f2 | cmovorw4p00ktqt7g1gob9fgf | NCAA_D3 || University of Maine at Presque Isle | TOKEN_MATCH | 80 | cmovorynp00prqt7gg8fqar0u | cmovoryoe00ptqt7g47a95cnl | NCAA_D3",2026,https://www.ncaa.com/rankings/baseball/d1/rpi
146,UC Davis,uc davis,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
155,Lipscomb,lipscomb,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
168,Oral Roberts,oral roberts,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
173,Lindenwood,lindenwood,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
185,Bryant,bryant,COLLEGE_AND_PROGRAM_MISSING,2,,,,,,,,,,,,,,Bryant & Stratton | TOKEN_MATCH | 85 | cmox2351r0010qtfki4exm5ci | cmox2352g0012qtfko8n0j30t | NJCAA_D2 || Bryant & Stratton College | TOKEN_MATCH | 85 | cmox235370013qtfk8y2sxj30 | cmox2353y0015qtfkp40fyk4x | NJCAA_D2,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
187,CSUN,csun,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
212,UMBC,umbc,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
226,UMass Lowell,umass lowell,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
237,CSU Bakersfield,california state university bakersfield,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
239,South Dakota St.,south dakota state,COLLEGE_AND_PROGRAM_MISSING,1,,,,,,,,,,,,,,Dakota State | TOKEN_MATCH | 76.67 | cmowzrztc0026qt4w837yizhj | cmowzrzu30028qt4w2si3pdp9 | NAIA,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
241,Delaware,delaware,COLLEGE_AND_PROGRAM_MISSING,3,,,,,,,,,,,,,,Delaware State University | TOKEN_MATCH | 85 | cmou7v13900goqtfg05v8bfsa | cmou7v14000gqqtfg74wzxd9d | NCAA_D1 || Delaware County Community College | TOKEN_MATCH | 80 | cmox2o1ft0020qtbkwgvp79gu | cmox2o1gj0022qtbkwnqe4ub7 | NJCAA_D3 || Delaware Technical Community College | TOKEN_MATCH | 80 | cmox236580039qtfk79pauoa6 | cmox2365x003bqtfkhtvcsi4d | NJCAA_D2,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
249,Long Beach St.,long beach state,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
252,Omaha,omaha,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
260,Iona,iona,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
271,La Salle,la salle,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
272,UC Riverside,uc riverside,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
277,UAlbany,ualbany,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
284,North Dakota St.,north dakota state,COLLEGE_AND_PROGRAM_MISSING,2,,,,,,,,,,,,,,North Dakota State College of Science | TOKEN_MATCH | 92.5 | cmox2o2pe004lqtbkhb09qqb1 | cmox2o2q5004nqtbk7khhlst4 | NJCAA_D3 || Dakota State | TOKEN_MATCH | 76.67 | cmowzrztc0026qt4w837yizhj | cmowzrzu30028qt4w2si3pdp9 | NAIA,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
286,St. Bonaventure,state bonaventure,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
290,NJIT,njit,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
295,St. Thomas (MN),state thomas mn,COLLEGE_AND_PROGRAM_MISSING,1,,,,,,,,,,,,,,St. Thomas | TOKEN_MATCH | 76.67 | cmowzs25w006uqt4w8e2l0xp7 | cmowzs26n006wqt4ww0ftc7cs | NAIA,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
296,Northern Colo.,northern colo,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
298,Mercyhurst,mercyhurst,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
301,New Haven,new haven,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
303,Coppin St.,coppin state,COLLEGE_AND_PROGRAM_MISSING,0,,,,,,,,,,,,,,,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
