matchType,normalizedValue,groupSize,collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,conference,baseballWebsiteUrl,coachCount
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066g1005lqtgc9k82gfo7,Huston-Tillotson,huston-tillotson,,TX,,cmox066gp005nqtgclnbwutsi,NAIA,Red River Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/hustontillotson,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0jv003lqt4wamuq6dql,IU Columbus,iu-columbus,,IND.,,cmowzs0km003nqt4wirgbvrua,NAIA,River States Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/iucolumbusind,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066o70063qtgcesmejger,IU Kokomo,iu-kokomo,,IN,,cmox066ou0065qtgctpbwih2h,NAIA,River States Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/iukokomo,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066hf005oqtgcambkvktk,Indiana South Bend,indiana-south-bend,,IN,,cmox066i3005qqtgcyzzryjxa,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/indianasouthbend,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066is005rqtgc1k2001tz,Indiana Southeast,indiana-southeast,,IN,,cmox066jh005tqtgcghn0tck4,NAIA,River States Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/indianasoutheast,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066k7005uqtgc83tqxsn0,Indiana Tech,indiana-tech,,IN,,cmox066kw005wqtgcq01rnvfs,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/indianatech,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066lk005xqtgctz7oerky,Indiana Wesleyan,indiana-wesleyan,,IN,,cmox066m6005zqtgcfc8lnz5r,NAIA,Crossroads League,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/indianawesleyanin,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmovlhvad008lqt20v64qa5f4,Jamestown,jamestown,Jamestown,N.D.,,cmovlhvb2008nqt20ovswvx3p,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/jamestown,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066qy0069qtgco1avrdjp,Jarvis Christian,jarvis-christian,,TX,,cmox066rl006bqtgcp8ia4wyg,NAIA,Red River Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/jarvischristian,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0mz003rqt4w9dtclhuh,Johnson,johnson,,TN,,cmowzs0nq003tqt4wtyvsyna9,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/johnsontn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0og003uqt4womnogrq7,Judson,judson,,IL,,cmowzs0p6003wqt4wdp0ghdk1,NAIA,Chicagoland Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/judsonil,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066v1006iqtgcllhmn9xz,Kansas Wesleyan,kansas-wesleyan,,KS,,cmox066vp006kqtgchtezecjc,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/kansaswesleyan,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0py003xqt4w2b5x3mjw,Keiser,keiser,,FLA.,,cmowzs0qr003zqt4wnm194jr2,NAIA,The Sun Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/keiser,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066xq006oqtgc1hw3zms8,Kentucky Christian,kentucky-christian,,KY,,cmox066yg006qqtgct3zks1ra,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/kentuckychristian,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0uo0046qt4wfr3hrw5d,LSU Alexandria,lsu-alexandria,,LA.,,cmowzs0ve0048qt4wqhs864vb,NAIA,Red River Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lsualexandria,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0w50049qt4wzavead73,LSU Shreveport,lsu-shreveport,,LA.,,cmowzs0wt004bqt4w74nprpxc,NAIA,Red River Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lsushreveport,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox066z4006rqtgchicxxtpc,La Sierra,la-sierra,,CA,,cmox066zr006tqtgc98u3a9gk,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lasierra,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0670h006uqtgc73tzy1mv,Lawrence Tech,lawrence-tech,,MI,,cmox06715006wqtgcslcpoi9h,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lawrencetech,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0ro0040qt4w6yk3fqcd,Lewis-Clark State,lewis-clark-state,,IDAHO,,cmowzs0se0042qt4w2im9pgza,NAIA,Cascade Collegiate Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lewisclarkstate,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067330070qtgc2vra1ndq,Lindsey Wilson,lindsey-wilson,,KY.,,cmox0673q0072qtgcnwerjkl3,NAIA,Mid-South Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lindseywilson,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0674e0073qtgccuv9vkx5,Louisiana Christian,louisiana-christian,,LA,,cmox067530075qtgcrqktxkzj,NAIA,Red River Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/louisianachristian,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox0675s0076qtgcqe0r7lig,Lourdes,lourdes,,OH,,cmox0676f0078qtgcmmkwoe43,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/lourdes,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0t60043qt4w612g566d,Loyola,loyola,,LA.,,cmowzs0tz0045qt4w2tbza8zh,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/loyola,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0xk004cqt4wnl1891ss,Madonna,madonna,,MICH.,,cmowzs0y9004eqt4w79qsitvo,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/madonna,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067ch007lqtgceo3tu6aq,Marian,marian,,IN,,cmox067d5007nqtgckmvb2cid,NAIA,Crossroads League,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/marianin,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067dt007oqtgcup27yusi,Mayville State,mayville-state,,ND,,cmox067eh007qqtgcmi8aia28,NAIA,North Star Athletic Association,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/mayvillestate,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmowzs0z2004fqt4w3uj81px9,McPherson,mcpherson,,KAN.,,cmowzs0zr004hqt4w09au8j0m,NAIA,Kansas Collegiate Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/mcpherson,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067gh007uqtgcqrq09vgr,Michigan-Dearborn,michigan-dearborn,,MI,,cmox067h8007wqtgc5c5lbk1q,NAIA,Wolverine-Hoosier Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/michigandearborn,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067hw007xqtgci55b1wtd,MidAmerica Nazarene,midamerica-nazarene,,KS,,cmox067ik007zqtgcm148r1fy,NAIA,Heart of America Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/midamericanazarene,0
WEBSITE_HOSTNAME,naiastats.prestosports.com,181,cmox067j70080qtgcbr5o9igh,Middle Georgia State,middle-georgia-state,,GA,,cmox067jw0082qtgcpsk5cjfd,NAIA,Southern States Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/middlegeorgiastate,0
