name,slug,city,state,zipCode,region,latitude,longitude,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,programXUrl,programInstagramUrl,programYoutubeUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Iona University,iona-university,New Rochelle,NY,10801-1890,NORTHEAST,40.925725,-73.788046,PRIVATE,FOUR_YEAR,https://www.iona.edu/,,,,,,47260,47260,47260,,2951,2951,0.87,0.56,https://collegescorecard.ed.gov/school/?191931,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
La Salle University,la-salle-university,Philadelphia,PA,19141-1199,MID_ATLANTIC,40.037979,-75.153061,PRIVATE,FOUR_YEAR,https://www.lasalle.edu/,,,,,,37800,37800,37800,,1953,1953,0.97,0.57,https://collegescorecard.ed.gov/school/?213367,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Lindenwood University,lindenwood-university,St. Charles,MO,63301-1695,MIDWEST,38.785425,-90.501286,PRIVATE,FOUR_YEAR,https://www.lindenwood.edu/,,,,,,21600,21600,21600,,4624,4624,0.57,0.49,https://collegescorecard.ed.gov/school/?177968,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Lipscomb University,lipscomb-university,Nashville,TN,37204-3951,SOUTHEAST,36.106253,-86.799791,PRIVATE,FOUR_YEAR,https://www.lipscomb.edu/,,,,,,40572,40572,40572,,2997,2997,0.68,0.72,https://collegescorecard.ed.gov/school/?219976,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Mercyhurst University,mercyhurst-university,Erie,PA,16546,MID_ATLANTIC,42.10578,-80.053412,PRIVATE,FOUR_YEAR,https://www.mercyhurst.edu/,,,,,,45770,45770,45770,,2191,2191,0.81,0.6,https://collegescorecard.ed.gov/school/?213987,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
New Jersey Institute of Technology,new-jersey-institute-of-technology,Newark,NJ,07102,MID_ATLANTIC,40.741997,-74.177113,PUBLIC,FOUR_YEAR,https://www.njit.edu/,,,,,,19974,37664,37664,,9019,9019,0.65,0.73,https://collegescorecard.ed.gov/school/?185828,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
North Dakota State University,north-dakota-state-university,Fargo,ND,58108-6050,MIDWEST,46.893127,-96.800838,PUBLIC,FOUR_YEAR,https://www.ndsu.edu/,,,,,,11110,15764,15764,,9471,9471,0.95,0.64,https://collegescorecard.ed.gov/school/?200332,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Oral Roberts University,oral-roberts-university,Tulsa,OK,74171,SOUTHWEST,36.049129,-95.952547,PRIVATE,FOUR_YEAR,https://oru.edu/,,,,,,35470,35470,35470,,3487,3487,0.99,0.57,https://collegescorecard.ed.gov/school/?207582,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
South Dakota State University,south-dakota-state-university,Brookings,SD,57007-1898,MIDWEST,44.317485,-96.782139,PUBLIC,FOUR_YEAR,https://www.sdstate.edu/,,,,,,9299,12809,12809,,9198,9198,0.98,0.62,https://collegescorecard.ed.gov/school/?219356,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Southern Illinois University Edwardsville,southern-illinois-university-edwardsville,Edwardsville,IL,62026-1259,MIDWEST,38.793949,-89.997779,PUBLIC,FOUR_YEAR,https://www.siue.edu/,,,,,,12922,12922,12922,,8750,8750,0.98,0.57,https://collegescorecard.ed.gov/school/?149231,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
St. Bonaventure University,st-bonaventure-university,St. Bonaventure,NY,14778-9800,NORTHEAST,42.080191,-78.481107,PRIVATE,FOUR_YEAR,https://www.sbu.edu/,,,,,,41735,41735,41735,,2012,2012,0.82,0.67,https://collegescorecard.ed.gov/school/?195164,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University at Albany, SUNY",university-at-albany-suny,Albany,NY,12222,NORTHEAST,42.685489,-73.824662,PUBLIC,FOUR_YEAR,https://www.albany.edu/,,,,,,10866,31256,31256,,12564,12564,0.69,0.61,https://collegescorecard.ed.gov/school/?196060,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Davis",university-of-california-davis,Davis,CA,95616-8678,PACIFIC,38.539667,-121.749567,PUBLIC,FOUR_YEAR,https://ucdavis.edu/,,,,,,16774,50974,50974,,32253,32253,0.42,0.86,https://collegescorecard.ed.gov/school/?110644,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Irvine",university-of-california-irvine,Irvine,CA,92697,PACIFIC,33.648434,-117.841248,PUBLIC,FOUR_YEAR,https://www.uci.edu/,,,,,,15722,49922,49922,,30197,30197,0.29,0.87,https://collegescorecard.ed.gov/school/?110653,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Riverside",university-of-california-riverside,Riverside,CA,92521,PACIFIC,33.97246,-117.32741,PUBLIC,FOUR_YEAR,https://www.ucr.edu/,,,,,,15606,49806,49806,,22593,22593,0.76,0.76,https://collegescorecard.ed.gov/school/?110671,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, San Diego",university-of-california-san-diego,La Jolla,CA,92093,PACIFIC,32.877749,-117.235866,PUBLIC,FOUR_YEAR,https://www.ucsd.edu/,,,,,,16758,50958,50958,,34948,34948,0.27,0.86,https://collegescorecard.ed.gov/school/?110680,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Santa Barbara",university-of-california-santa-barbara,Santa Barbara,CA,93106,PACIFIC,34.416297,-119.846426,PUBLIC,FOUR_YEAR,https://www.ucsb.edu/,,,,,,16414,50614,50614,,23113,23113,0.33,0.83,https://collegescorecard.ed.gov/school/?110705,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Delaware,university-of-delaware,Newark,DE,19716,MID_ATLANTIC,39.679577,-75.752822,PUBLIC,FOUR_YEAR,https://www.udel.edu/,,,,,,16810,41400,41400,,19071,19071,0.71,0.81,https://collegescorecard.ed.gov/school/?130943,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Hawaii at Manoa,university-of-hawaii-at-manoa,Honolulu,HI,96822-2217,PACIFIC,21.298598,-157.818979,PUBLIC,FOUR_YEAR,https://manoa.hawaii.edu/,,,,,,12186,34218,34218,,15029,15029,0.87,0.64,https://collegescorecard.ed.gov/school/?141574,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Maine,university-of-maine,Orono,ME,04469,NORTHEAST,44.899257,-68.669332,PUBLIC,FOUR_YEAR,https://www.umaine.edu/,,,,,,13326,36756,36756,,8496,8496,0.97,0.55,https://collegescorecard.ed.gov/school/?161253,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of Maryland, Baltimore County",university-of-maryland-baltimore-county,Baltimore,MD,21250,MID_ATLANTIC,39.256686,-76.711607,PUBLIC,FOUR_YEAR,https://umbc.edu/,,,,,,13256,31275,31275,,10701,10701,0.72,0.7,https://collegescorecard.ed.gov/school/?163268,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Massachusetts Lowell,university-of-massachusetts-lowell,Lowell,MA,01854,NORTHEAST,42.652864,-71.326809,PUBLIC,FOUR_YEAR,https://www.uml.edu/,,,,,,16966,36264,36264,,11434,11434,0.83,0.65,https://collegescorecard.ed.gov/school/?166513,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Nebraska Omaha,university-of-nebraska-omaha,Omaha,NE,68182-0225,MIDWEST,41.258769,-96.008516,PUBLIC,FOUR_YEAR,https://www.unomaha.edu/,,,,,,8718,23206,23206,,11488,11488,0.87,0.47,https://collegescorecard.ed.gov/school/?181394,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of New Haven,university-of-new-haven,West Haven,CT,06516-1916,NORTHEAST,41.291314,-72.961472,PRIVATE,FOUR_YEAR,https://www.newhaven.edu/,,,,,,47332,47332,47332,,4841,4841,0.6,0.63,https://collegescorecard.ed.gov/school/?129941,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Northern Colorado,university-of-northern-colorado,Greeley,CO,80639,WEST,40.410855,-104.692777,PUBLIC,FOUR_YEAR,https://www.unco.edu/,,,,,,12416,27266,27266,,5598,5598,0.86,0.51,https://collegescorecard.ed.gov/school/?127741,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of St. Thomas,university-of-st-thomas-minnesota,St. Paul,MN,55105-1078,MIDWEST,44.943439,-93.188986,PRIVATE,FOUR_YEAR,https://www.stthomas.edu/,,,,,,54398,54398,54398,,6245,6245,0.85,0.76,https://collegescorecard.ed.gov/school/?174914,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
