slug,programXUrl,programInstagramUrl,recruitingQuestionnaireUrl,recruitsPageUrl,sourceUrl,confidence,verifiedAt,reviewStatus
william-and-mary,https://x.com/WMTribeBaseball,https://instagram.com/WMTribeBaseball,,,https://tribeathletics.com/sports/baseball,LOW,,NEEDS_REVIEW
jacksonville-state-university,https://x.com/JaxStateBB,https://instagram.com/JaxStateBB,,,https://jsugamecocksports.com/sports/baseball,LOW,,NEEDS_REVIEW
kennesaw-state-university,https://x.com/KSUOwlsBaseball,https://instagram.com/ksuowlsbaseball,,https://ksuowls.com/feature/Recruits,https://ksuowls.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
liberty-university,,,https://questionnaires.armssoftware.com/4b69de17846a,https://questionnaires.armssoftware.com/4b69de17846a,https://libertyflames.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
louisiana-tech-university,https://x.com/LATechBSB,https://instagram.com/latechbsb,,https://sites.google.com/view/latechrecruitinghq/home,https://latechsports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
new-mexico-state-university,https://x.com/NMStateBaseball,https://instagram.com/nmstatebaseball,,,https://nmstatesports.com/sports/baseball,LOW,,NEEDS_REVIEW
sam-houston-state-university,,,https://questionnaires.armssoftware.com/b60b2e11469d?path=baseball,https://questionnaires.armssoftware.com/b60b2e11469d?path=baseball,https://gobearkats.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-texas-at-el-paso,,,,,https://utepminers.com/sports/baseball,LOW,,NO_LINKS_FOUND
western-kentucky-university,https://twitter.com/WKU_Baseball?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/wkubaseball/?hl=en,https://college.jumpforward.com/questionnaire.aspx?iid=370&amp;sportid=16,https://college.jumpforward.com/questionnaire.aspx?iid=370&amp;sportid=16,https://wkusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
northern-kentucky-university,https://x.com/NKUNorseBSB,https://instagram.com/nkunorsebsb,,,https://nkunorse.com/sports/baseball,LOW,,NEEDS_REVIEW
oakland-university,https://x.com/OaklandBASE,https://instagram.com/golden_grizzlies,,,https://goldengrizzlies.com/sports/baseball,LOW,,NEEDS_REVIEW
